mapX,mapY,sourceX,sourceY,enable
171753.05435647952,1132938.0067740825,1531.284,-1153.6558,1
171759.48300632613,1132877.2983375138,1565.7311,-1251.3201,1
171721.43519033532,1132597.1811939348,1552.5603,-1687.607,1
171974.07586755723,1132577.7974625041,2052.361,-1861.5812,1
171787.22617642744,1132466.3333458796,1719.375,-1978.1687,1
172295.33056699415,1132428.6641251477,2512.0686,-1996.0028,1
171771.06570467728,1132417.9747937382,1726.957,-2076.8054,1
172519.90036572624,1132351.3319836413,2806.1375,-2088.2793,1
171997.29138500916,1132353.4232082649,2064.075,-2133.6187,1
172218.63283846248,1132334.1098193598,2401.264,-2129.1658,1
172165.02055296037,1132262.709066038,2286.5193,-2163.4492,1
171752.85528379647,1132348.8806135731,1695.4375,-2198.3896,1
172275.1857385136,1132274.3036053234,2461.4375,-2204.8667,1
172016.37063044275,1132250.619544848,2082.8203,-2250.206,1
172520.49732112105,1132214.1633597317,2828.1711,-2260.7102,1
171961.3699462114,1132207.1559278513,2016.8251,-2314.977,1
172108.01011336313,1132205.2920758845,2198.125,-2308.5,1
171951.24598010228,1132142.5118747293,1960.7919,-2424.0205,1
171882.0429133443,1132139.2173303592,1887.969,-2436.826,1
172177.96282537773,1132110.1511944775,2270.6533,-2423.8938,1
172137.67524474364,1132094.48364834,2212.9197,-2463.4924,1
172581.79712950604,1132091.9636239747,2910.3003,-2462.9812,1
172383.95267374217,1132079.5571392647,2631.0894,-2483.3813,1
172304.42442567114,1132065.879018182,2504.525,-2515.7666,1
171823.96176477993,1132068.7055017587,1795.0745,-2559.3718,1
171943.46439704503,1132051.2168659484,1920.3704,-2567.5833,1
172133.29005177182,1132032.3636883534,2209.7344,-2554.6292,1
172579.0109706898,1132041.1774496862,2915.3767,-2547.671,1
172430.9746166427,1132002.698644956,2702.1611,-2593.4917,1
172029.1863698366,1131981.6960895155,2062.114,-2638.875,1
172317.36817701918,1131985.574512243,2542.2703,-2619.3313,1
172848.44110947367,1132008.2389486255,3343.4587,-2616.5178,1
171726.94915913316,1131954.581653092,1648.0554,-2703.8816,1
171916.25868375538,1131972.3966267896,1894.0593,-2704.0208,1
172541.8406909614,1131949.4399817907,2869.6877,-2690.648,1
172409.71013872506,1131935.1829919189,2671.9126,-2730.079,1
171631.0876982539,1131926.0006890877,1468.5564,-2787.8042,1
171433.15462532005,1131851.4353219492,1225.6849,-2839.556,1
172469.0790674293,1131891.9821366786,2767.9438,-2788.7104,1
172881.7658709194,1131895.208972231,3416.1545,-2756.1375,1
171659.8778630307,1131888.6177637996,1509.1688,-2833.1438,1
172049.30843680908,1131868.6241361282,2147.7854,-2822.6206,1
171745.15606287122,1131889.2492214318,1653.9655,-2852.2014,1
171482.62850031687,1131844.7735986402,1312.6807,-2875.704,1
172552.09691035026,1131818.502711212,2897.586,-2879.9146,1
172474.51749749744,1131829.6031141158,2785.878,-2886.328,1
